wine_id,wine_name,producer,grapes,country,region,year,price,quantity,bottle_size,note_text,ai_summary
377,Phelan Segur changed agin,Domain Mia,,Frankreich,Bordeaux,2002,35.00,2,0.750,test,Test 2
382,Brane Cantenac,,Pinot Noir,Frankreich,Bordeaux,2015,65.00,11,0.750,jjjj,
383,Canon la Gaffeliere,,,Frankreich,Bordeaux,2015,70.00,5,0.750,,
385,Grand vin de Leoville Marquis de las cases,,Merlot,Frankreich,Bordeaux,2016,240.00,6,0.750,,
386,Lafon La Tuillerie,Franznase,,Frankreich,Bordeaux,2016,40.00,5,0.750,,
387,Castel Giocondo Brunello dii Montalcino,,,Italien,Toskana,2016,45.00,1,0.750,,
388,Phelan Segur,,,Frankreich,Bordeaux,2016,45.00,12,0.750,,
402,Chateau Fieuzal,,"Merlot, Sangiovese",Frankreich,Bordeaux,2023,28.00,6,0.750,,
403,Chateau Batailley,,,Frankreich,Bordeaux,2023,34.00,6,0.750,,
404,Canon la Gaffeliere,,Pinot Noir,Frankreich,Bordeaux,2023,66.00,6,0.750,,
405,Chateau Ferriere,,,Frankreich,Bordeaux,2023,37.00,6,0.750,,
406,Phelan Segur,,,Frankreich,Bordeaux,2022,49.00,6,0.750,,
407,Chateau de Pressac,,,Frankreich,Bordeaux,2022,34.00,18,0.750,,
626,Kukucksei,,Kukuksgrape,Schweiz,,2025,,0,,,"I couldn't find any information about a wine called ""Kukucksei."" It's possible that it's a lesser-known or obscure wine from an unknown region or producer. If you have more information about the wine, such as the region or type, I may be able to help you better."
659,Neuer Wein,Andi,,Schweiz,Knonau,,,0,0.750,,
