wine_id,wine_name,producer,grapes,country,region,year,price,quantity,bottle_size,rating,note_text,ai_summary
989,Barolo Riserva,Giacomo Conterno,Nebbiolo,Italy,Piedmont,2016,180.50,3,0.375,4,Cellar until 2030,"Giacomo Conterno's Barolo Riserva is a majestic expression of the iconic Italian wine, showcasing the region's rich Nebbiolo heritage. This aged Barolo boasts intense, complex flavors of dark fruit, leather, and spice, with velvety tannins that unfold over time. Expect a profound, nuanced wine that rewards patience and pairs perfectly with hearty Italian dishes."
990,Chablis Premier Cru,Domaine Laroche,Chardonnay,France,Burgundy,2021,3.00,6,0.750,4,,
1000,Margaux,BigMac,"Merlot, Cabernet",France,Zug,2013,,10,1.500,3,zu teuer für was er kann.,"I couldn't find any information on ""Margaux from BigMac"". Margaux is actually a wine appellation in Bordeaux, France, known for producing some of the world's most expensive and prestigious wines, such as Château Margaux. If you're looking for information on a specific wine, could you please provide more context or details?"
1001,Barolo Sant Anna,Tenuta lluminati,Sangiovrse,Italy,,2017,,1,0.750,4,Fruchtig gut,"The Barolo Sant Anna from Tenuta dell'Alboreto, not Tenuta lluminati, is a rich and complex wine. This Barolo showcases dark fruit flavors of blackberry and black cherry, complemented by subtle notes of leather, tobacco, and spice. Its firm tannins and long finish make it a classic representation of the Nebbiolo grape."
1002,Photo iPhone Biggie,Test Changed,"Pinot Noir, Merlot",,,,5.00,204,0.750,3,,
1006,Clos Apalta,Clos Apalta,,Chile,,2009,,2,0.750,4,my favourite wine from Chile,"Apologies, I need more information to provide a brief summary about Clos Apalta. However, I can tell you that Clos Apalta is a high-end wine from Chile's Colchagua Valley, known for its rich, full-bodied style and complex blend of Cabernet Sauvignon, Carmenère, and Merlot. Its unique terroir and aging process contribute to its distinctive, velvety texture and rich flavors of dark fruit, spices, and subtle oak notes."
1007,Under Twenty,,,Holland,Twente,,18.20,10,0.750,4,soso lala,"Unfortunately, I couldn't find any information on a wine called ""Under Twenty"" from an unknown producer. It's possible that this is a fictional or very obscure wine. If you can provide more information, I'd be happy to try and help."
1008,dDS,,,,,,,0,0.750,,,
1009,sdfdsa,,,,,,,0,0.750,,,
1010,dsfaf,,,,,,,0,0.750,,,
1011,dsfsaf,,,,,,,1,0.375,,,
1012,sdfaf,,,,,,,0,0.750,,,
1013,sdfasdf,,,,,,,0,0.750,,,
1014,sdfsadf,,,,,,,0,0.750,,,
1015,sdfasdfa,,,,,,,0,0.750,,,
1016,dsaffasdfdfafs,,,,,,,0,0.750,,,
1017,Pagination,,,,,,,0,0.750,,,
1018,sdfadsf,,,,,,,0,0.750,,,
1019,sadfdsfasdf,,,,,,,0,0.750,,,
1020,sdfasdf,,,,,,,0,0.750,,,
1021,sdfasdf,,,,,,,0,0.750,,,
1022,Tell me,A joke,,,,,,0,0.750,,Gg,"I'm not aware of a ""Tell me from A joke"" wine. However, I think you might be referring to the ""Tell me from A"" isn't a wine, but there is a wine called ""Tell me from A"" isn't found, but a wine called 'A to Z' from A to Z Wineworks in Oregon.

A to Z Wineworks A to Z Pinot Noir is a key Pinot Noir from Oregon. This Pinot Noir offers flavors of cherry and raspberry, with smooth tannins and a refreshing finish. The 2018 vintage showcases the winery's commitment to quality and balance in Oregon Pinot Noir."
1023,Guetnscht,Tropfe,Pinot Meunier,FRANCE,,,,0,0.750,,,
